,N,delta,alpha
0,1.0,0.949494949495,0.95005
1,2.0,0.973737373737,0.95136
2,3.0,0.981818181818,0.95152
3,4.0,0.985858585859,0.95224
4,5.0,0.987878787879,0.95037
5,6.0,0.989898989899,0.95244
6,7.0,0.991919191919,0.95678
7,8.0,0.991919191919,0.95276
8,9.0,0.993939393939,0.96045
9,10.0,0.993939393939,0.95788
10,11.0,0.993939393939,0.95623
11,12.0,0.993939393939,0.95223
12,13.0,0.993939393939,0.95003
13,14.0,0.99595959596,0.96436
14,15.0,0.99595959596,0.96391
15,16.0,0.99595959596,0.96168
16,17.0,0.99595959596,0.96063
17,18.0,0.99595959596,0.95935
18,19.0,0.99595959596,0.95767
19,20.0,0.99595959596,0.95675
20,21.0,0.99595959596,0.95511
21,22.0,0.99595959596,0.95459
22,23.0,0.99595959596,0.95393
23,24.0,0.99595959596,0.95387
24,25.0,0.99595959596,0.95206
25,26.0,0.99595959596,0.95146
26,27.0,0.99797979798,0.97346
27,28.0,0.99797979798,0.97248
28,29.0,0.99797979798,0.97264
29,30.0,0.99797979798,0.97155
30,31.0,0.99797979798,0.97146
31,32.0,0.99797979798,0.97016
32,33.0,0.99797979798,0.97073
33,34.0,0.99797979798,0.96991
34,35.0,0.99797979798,0.96914
35,36.0,0.99797979798,0.96855
36,37.0,0.99797979798,0.96872
37,38.0,0.99797979798,0.96828
38,39.0,0.99797979798,0.96806
39,40.0,0.99797979798,0.96779
40,41.0,0.99797979798,0.96733
41,42.0,0.99797979798,0.96709
42,43.0,0.99797979798,0.96675
43,44.0,0.99797979798,0.96705
44,45.0,0.99797979798,0.96456
45,46.0,0.99797979798,0.96517
46,47.0,0.99797979798,0.96519
47,48.0,0.99797979798,0.966
48,49.0,0.99797979798,0.96347
49,50.0,0.99797979798,0.96422
50,51.0,0.99797979798,0.96329
51,52.0,0.99797979798,0.96342
52,53.0,0.99797979798,0.96297
53,54.0,0.99797979798,0.96192
54,55.0,0.99797979798,0.96336
55,56.0,0.99797979798,0.96198
56,57.0,0.99797979798,0.96231
57,58.0,0.99797979798,0.96201
58,59.0,0.99797979798,0.96152
59,60.0,0.99797979798,0.96059
60,61.0,0.99797979798,0.9609
61,62.0,0.99797979798,0.96115
62,63.0,0.99797979798,0.96102
63,64.0,0.99797979798,0.95976
64,65.0,0.99797979798,0.95923
65,66.0,0.99797979798,0.95935
66,67.0,0.99797979798,0.95956
67,68.0,0.99797979798,0.95971
68,69.0,0.99797979798,0.95883
69,70.0,0.99797979798,0.9587
70,71.0,0.99797979798,0.95994
71,72.0,0.99797979798,0.95781
72,73.0,0.99797979798,0.95781
73,74.0,0.99797979798,0.95877
74,75.0,0.99797979798,0.95802
75,76.0,0.99797979798,0.95843
76,77.0,0.99797979798,0.95696
77,78.0,0.99797979798,0.95675
78,79.0,0.99797979798,0.95787
79,80.0,0.99797979798,0.9571
80,81.0,0.99797979798,0.95743
81,82.0,0.99797979798,0.9574
82,83.0,0.99797979798,0.9572
83,84.0,0.99797979798,0.95568
84,85.0,0.99797979798,0.95578
85,86.0,0.99797979798,0.95536
86,87.0,0.99797979798,0.9561
87,88.0,0.99797979798,0.95646
88,89.0,0.99797979798,0.9546
89,90.0,0.99797979798,0.95533
90,91.0,0.99797979798,0.95482
91,92.0,0.99797979798,0.95362
92,93.0,0.99797979798,0.95467
93,94.0,0.99797979798,0.95357
94,95.0,0.99797979798,0.95369
95,96.0,0.99797979798,0.95445
96,97.0,0.99797979798,0.95349
97,98.0,0.99797979798,0.95431
98,99.0,0.99797979798,0.95384
99,100.0,0.99797979798,0.95385
